Classification,Year,County,count
Dependency,2010,Douglas,529
Felony,2010,Douglas,50
Misdemeanor,2010,Douglas,431
Status,2010,Douglas,156
Dependency,2011,Douglas,445
Felony,2011,Douglas,55
Misdemeanor,2011,Douglas,208
Status,2011,Douglas,64
Traffic Offense,2011,Douglas,3
Dependency,2012,Douglas,409
Felony,2012,Douglas,51
Misdemeanor,2012,Douglas,212
Status,2012,Douglas,98
Dependency,2013,Douglas,472
Felony,2013,Douglas,42
Misdemeanor,2013,Douglas,164
Status,2013,Douglas,93
Traffic Offense,2013,Douglas,2
Dependency,2014,Douglas,391
Felony,2014,Douglas,76
Misdemeanor,2014,Douglas,204
Status,2014,Douglas,75
Traffic Offense,2014,Douglas,3
Dependency,2015,Douglas,533
Felony,2015,Douglas,53
Misdemeanor,2015,Douglas,187
Status,2015,Douglas,48
Traffic Offense,2015,Douglas,2
Dependency,2016,Douglas,490
Felony,2016,Douglas,37
Misdemeanor,2016,Douglas,176
Status,2016,Douglas,40
Dependency,2017,Douglas,428
Felony,2017,Douglas,69
Misdemeanor,2017,Douglas,154
Status,2017,Douglas,67
Traffic Offense,2017,Douglas,3
Dependency,2018,Douglas,74
Felony,2018,Douglas,12
Misdemeanor,2018,Douglas,28
Status,2018,Douglas,12
Traffic Offense,2018,Douglas,2
Dependency,2019,Douglas,383
Felony,2019,Douglas,69
Misdemeanor,2019,Douglas,124
Status,2019,Douglas,40
Traffic Offense,2019,Douglas,1
Dependency,2020,Douglas,342
Felony,2020,Douglas,54
Misdemeanor,2020,Douglas,88
Status,2020,Douglas,3
Dependency,2021,Douglas,369
Felony,2021,Douglas,72
Misdemeanor,2021,Douglas,79
Status,2021,Douglas,12
Dependency,2022,Douglas,307
Felony,2022,Douglas,103
Misdemeanor,2022,Douglas,149
Status,2022,Douglas,24
Dependency,2023,Douglas,371
Felony,2023,Douglas,176
Misdemeanor,2023,Douglas,244
Status,2023,Douglas,17
Dependency,2024,Douglas,305
Felony,2024,Douglas,244
Misdemeanor,2024,Douglas,452
Status,2024,Douglas,83
Traffic Offense,2024,Douglas,1
Dependency,2010,Lancaster,464
Felony,2010,Lancaster,56
Misdemeanor,2010,Lancaster,449
Status,2010,Lancaster,181
Dependency,2011,Lancaster,417
Felony,2011,Lancaster,40
Misdemeanor,2011,Lancaster,331
Status,2011,Lancaster,180
Dependency,2012,Lancaster,312
Felony,2012,Lancaster,34
Misdemeanor,2012,Lancaster,300
Status,2012,Lancaster,148
Traffic Offense,2012,Lancaster,3
Dependency,2013,Lancaster,288
Felony,2013,Lancaster,21
Misdemeanor,2013,Lancaster,261
Status,2013,Lancaster,247
Dependency,2014,Lancaster,256
Felony,2014,Lancaster,22
Misdemeanor,2014,Lancaster,164
Status,2014,Lancaster,150
Traffic Offense,2014,Lancaster,2
Dependency,2015,Lancaster,208
Felony,2015,Lancaster,38
Misdemeanor,2015,Lancaster,178
Status,2015,Lancaster,104
Dependency,2016,Lancaster,258
Felony,2016,Lancaster,23
Misdemeanor,2016,Lancaster,140
Status,2016,Lancaster,88
Dependency,2017,Lancaster,164
Felony,2017,Lancaster,13
Misdemeanor,2017,Lancaster,74
Status,2017,Lancaster,24
Dependency,2018,Lancaster,142
Felony,2018,Lancaster,20
Misdemeanor,2018,Lancaster,81
Status,2018,Lancaster,33
Dependency,2019,Lancaster,196
Felony,2019,Lancaster,9
Misdemeanor,2019,Lancaster,50
Status,2019,Lancaster,36
Dependency,2020,Lancaster,162
Felony,2020,Lancaster,22
Misdemeanor,2020,Lancaster,40
Status,2020,Lancaster,14
Dependency,2021,Lancaster,233
Felony,2021,Lancaster,28
Misdemeanor,2021,Lancaster,51
Status,2021,Lancaster,47
Dependency,2022,Lancaster,187
Felony,2022,Lancaster,65
Misdemeanor,2022,Lancaster,119
Status,2022,Lancaster,82
Dependency,2023,Lancaster,199
Felony,2023,Lancaster,82
Misdemeanor,2023,Lancaster,165
Status,2023,Lancaster,71
Dependency,2024,Lancaster,184
Felony,2024,Lancaster,101
Misdemeanor,2024,Lancaster,267
Status,2024,Lancaster,212
Dependency,2010,Sarpy,96
Felony,2010,Sarpy,20
Misdemeanor,2010,Sarpy,122
Status,2010,Sarpy,22
Traffic Offense,2010,Sarpy,1
Dependency,2011,Sarpy,85
Felony,2011,Sarpy,13
Misdemeanor,2011,Sarpy,54
Status,2011,Sarpy,16
Dependency,2012,Sarpy,78
Felony,2012,Sarpy,13
Misdemeanor,2012,Sarpy,70
Status,2012,Sarpy,11
Dependency,2013,Sarpy,93
Felony,2013,Sarpy,19
Misdemeanor,2013,Sarpy,51
Status,2013,Sarpy,11
Dependency,2014,Sarpy,115
Felony,2014,Sarpy,9
Misdemeanor,2014,Sarpy,58
Status,2014,Sarpy,8
Dependency,2015,Sarpy,80
Felony,2015,Sarpy,8
Misdemeanor,2015,Sarpy,41
Status,2015,Sarpy,9
Dependency,2016,Sarpy,106
Felony,2016,Sarpy,6
Misdemeanor,2016,Sarpy,27
Status,2016,Sarpy,5
Dependency,2017,Sarpy,85
Felony,2017,Sarpy,16
Misdemeanor,2017,Sarpy,49
Status,2017,Sarpy,11
Dependency,2018,Sarpy,80
Felony,2018,Sarpy,20
Misdemeanor,2018,Sarpy,58
Status,2018,Sarpy,12
Dependency,2019,Sarpy,90
Felony,2019,Sarpy,15
Misdemeanor,2019,Sarpy,51
Status,2019,Sarpy,7
Dependency,2020,Sarpy,52
Felony,2020,Sarpy,11
Misdemeanor,2020,Sarpy,42
Status,2020,Sarpy,6
Dependency,2021,Sarpy,61
Felony,2021,Sarpy,16
Misdemeanor,2021,Sarpy,55
Status,2021,Sarpy,14
Dependency,2022,Sarpy,67
Felony,2022,Sarpy,11
Misdemeanor,2022,Sarpy,62
Status,2022,Sarpy,11
Dependency,2023,Sarpy,93
Felony,2023,Sarpy,19
Misdemeanor,2023,Sarpy,71
Status,2023,Sarpy,18
Dependency,2024,Sarpy,85
Felony,2024,Sarpy,28
Misdemeanor,2024,Sarpy,200
Status,2024,Sarpy,26
